epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
164,641.279,0.36722,0.32354,0.8238,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,9.19394e-05,9.19394e-05,9.19394e-05
165,645.256,0.35683,0.3117,0.81614,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,8.95832e-05,8.95832e-05,8.95832e-05
166,649.22,0.35689,0.3136,0.81532,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,8.7227e-05,8.7227e-05,8.7227e-05
167,653.227,0.36011,0.31127,0.82266,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,8.48708e-05,8.48708e-05,8.48708e-05
168,657.145,0.35654,0.3128,0.82266,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,8.25146e-05,8.25146e-05,8.25146e-05
169,661.056,0.35356,0.31056,0.82238,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,8.01584e-05,8.01584e-05,8.01584e-05
170,665.013,0.3532,0.3089,0.82397,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,7.78022e-05,7.78022e-05,7.78022e-05
171,669.05,0.35065,0.3143,0.82215,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,7.5446e-05,7.5446e-05,7.5446e-05
172,672.954,0.35247,0.30862,0.81762,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,7.30898e-05,7.30898e-05,7.30898e-05
173,676.879,0.34155,0.30589,0.81842,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,7.07336e-05,7.07336e-05,7.07336e-05
174,680.887,0.3517,0.30799,0.82024,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,6.83774e-05,6.83774e-05,6.83774e-05
175,684.896,0.3489,0.30192,0.81713,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,6.60212e-05,6.60212e-05,6.60212e-05
176,688.849,0.34935,0.30771,0.81545,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,6.3665e-05,6.3665e-05,6.3665e-05
177,692.827,0.34423,0.30085,0.81694,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,6.13088e-05,6.13088e-05,6.13088e-05
178,696.809,0.3465,0.30425,0.81429,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,5.89526e-05,5.89526e-05,5.89526e-05
179,700.852,0.34687,0.30508,0.81635,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,5.65964e-05,5.65964e-05,5.65964e-05
180,704.787,0.34815,0.31544,0.81638,0.95163,0.9451,0.97967,0.82254,0.63193,0.46071,0.8561,5.42402e-05,5.42402e-05,5.42402e-05
